repo	stars	license	kicad_pcb	firmware_files	ino	platformio	updated	description
Jana-Marie/analog-toolkit	74	cern-ohl-s-2.0	2	995	0	0	2026-03-14	A smol and simple STM32G431 based Analog to USB toolkit.
petercpark/The_Uni	71	other	8	5	0	0	2026-07-02	A uni-board split ortholinear made for stenography. Uses QMK Firmware's Gemini Protocol. T
Jana-Marie/temperature-logger	68	other	2	98	0	0	2026-06-18	Anotter USB temperature logger that can record up to four channels with thermocouple or NT
transistorfet/computie	68	gpl-3.0	5	9	5	0	2026-07-11	A collection of 68k computer projects, including a unix-like operating system written in C
buildwithtrace/trace	54	gpl-3.0	215	654	0	0	2026-08-17	Official source code of Trace, an AI-native PCB design tool.
sebastienroy/shutter_speed_tester	48	gpl-3.0	1	8	8	0	2026-07-29	A project which goal is to design and build a tool that allows to test the shutter speed a
sssata/fluxpad	43	gpl-3.0	2	16	3	1	2026-07-30	Analog keypad with hall effect switches and rapid trigger for osu!
MAKERSUN99/MAUS	39	gpl-3.0	1	8	7	1	2026-04-22	MAUS Arduino USB Mouse Jiggler – Mini Programmable ATtiny85 – Open Source
doppelgrau/esp32-f9p-io-board	39	other	1	8	4	0	2026-07-13	An IO-PCB (two motor-driver/H-bridge, CAN, RS232, ADS1115, relay, ethernet, ardusimple f9p
Tropaion/ZigBee_SmartMeter_Reader	32	gpl-3.0	2	20	0	0	2026-04-16	This is a ZigBee device to collect data from smartmeters using the DLMS/COSEM protocol.
polykit/kosmo-multitool	31	other	2	13	7	0	2026-03-23	Arduino Nano Every based development platform for DIY synthesizer enthusiasts.
BenjaminSoelberg/elektronika-1	28	gpl-3.0	1	72	0	0	2026-06-12	A replacement module for the USSR vintage LED watch Elektronika-1 anno 1978
espena/dual-button-doorbell	26	gpl-3.0	1	42	0	0	2026-07-16	ESP32 driven, WiFi-enabled dual-button doorbell with custom audio signals and real-time re
cwgstreet/cloudSmoker	24	other	1	1	0	1	2026-08-03	ESP32 wifi enabled quad temperature probe device to monitor bbq meat / pit temperatures wi
RobertPHeller/RPi-RRCircuits	24	other	79	29	23	0	2026-03-09	A collection of circuit designs for various MCUs, not just Raspberry Pis relating to Model
Pippadi/combadge	20	gpl-3.0	1	20	7	0	2026-08-16	A Star Trek combadge built with the ESP32-S3
tomtor/STM32-RFM95-PCB	20	gpl-3.0	3	4	4	0	2025-10-13	STM32 and AVR128 Printed Circuit Board for creating IOT nodes with the RFM95 LORA chip
